"File","Iter","MarkersBefore","MarkersAfter","BadAfter"
"C:\xampp\htdocs\eja\sistema\painel-admin\index.php","6","5259","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\gerar_historico_medio.php","3","243","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\gerar_historico_fundamental.php","3","197","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos_vendedor.php","3","172","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\relatorio_aluno.php","1","102","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos.php","4","64","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\relatorio_alunos_efi.php","1","50","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\atendimentos_novo\listar.php","3","44","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\atendimentos_alunos\listar.php","3","40","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\gateway.php","1","32","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pacotes\inserir.php","3","31","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\inserir.php","3","31","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\categorias\inserir.php","3","29","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\linguagens\inserir.php","3","29","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos.php","1","22","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\tesoureiros\listar.php","3","20","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\secretarios\listar.php","3","20","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\gateway\salvar.php","1","20","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\assessores\listar.php","3","20","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\vendedores\listar.php","1","18","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\vendedores.php","1","18","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\arquivos_alunos.php","1","17","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\usuarios\listar.php","2","16","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pacotes.php","1","15","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\matriculas\aprovar.php","1","15","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pagamentos_aluno.php","4","10","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\comissoes\listar.php","1","10","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\professores\inserir.php","1","9","0","0"
