"DataHora","Arquivo"
"2026-03-04 09:47:00","sistema\painel-admin\paginas\atendimentos_alunos\listar.php"
"2026-03-04 09:47:28","sistema\painel-admin\paginas\atendimentos_novo\listar.php"
"2026-03-04 14:59:56","sistema\painel-admin\paginas\alunos.php"
"2026-03-04 15:00:03","sistema\painel-admin\paginas\atendimentos_alunos.php"
"2026-03-04 15:00:09","sistema\painel-admin\paginas\atendimentos_novo.php"
"2026-03-04 15:00:24","sistema\painel-admin\paginas\atendimentos_alunos\inserir.php"
"2026-03-04 15:00:31","sistema\painel-admin\paginas\atendimentos_novo\inserir.php"
"2026-03-04 15:30:15","sistema\painel-admin\paginas\vendedores\inserir.php"
"2026-03-04 15:30:21","sistema\painel-admin\entrar-como-aluno.php"
"2026-03-04 15:42:37","sistema\painel-aluno\index.php"
"2026-03-04 16:27:11","curso.php"
"2026-03-04 16:27:56","pacote.php"
"2026-03-04 17:42:18",".env"
"2026-03-04 18:26:00","sistema\painel-aluno\paginas\cursos\listar-video.php"
"2026-03-05 00:43:25","efi\split_autoatendimento.log"
"2026-03-05 10:15:50","sistema\painel-aluno\paginas\cursos\listar-aulas.php"
"2026-03-05 10:37:56","sistema\painel-aluno\paginas\cursos\abrir-apostila.php"
"2026-03-05 10:57:33","sistema\painel-aluno\paginas\cursos\abrir-apostila-curso.php"
"2026-03-05 11:03:16","sistema\painel-aluno\paginas\cursos\listar-doc.php"
"2026-03-05 11:19:17","sistema\painel-aluno\paginas\cursos\listar-apostilas.php"
"2026-03-05 12:12:59","sistema\painel-aluno\paginas\cursos\listar-quest.php"
"2026-03-05 12:13:10","sistema\painel-aluno\paginas\cursos\processar-questionario.php"
"2026-03-05 12:13:21","sistema\painel-aluno\paginas\cursos\resultado.php"
"2026-03-05 13:03:58","sistema\painel-admin\paginas\vendas.php"
"2026-03-05 13:04:58","sistema\painel-admin\paginas\vendas\listar.php"
"2026-03-05 13:10:39","sistema\painel-admin\index.php"
"2026-03-05 13:56:57","sistema\painel-admin\paginas\matriculas.php"
"2026-03-05 13:57:49","sistema\painel-admin\paginas\relatorio_alunos_efi.php"
"2026-03-05 13:59:52","sistema\painel-admin\paginas\relatorio_aluno.php"
"2026-03-05 14:27:12","efi_webhooks.php"
"2026-03-05 16:06:26","sistema\painel-admin\paginas\pagamentos_aluno.php"
"2026-03-05 16:23:55","logs\efi_card_request.log"
"2026-03-05 16:23:58","logs\efi_card_gateway.log"
"2026-03-05 16:24:30","efi\card.php"
"2026-03-05 16:24:46","sistema\painel-aluno\paginas\pacotes\listar.php"
"2026-03-05 16:24:52","sistema\painel-aluno\paginas\cursos\listar-cursos.php"
"2026-03-05 16:24:58","sistema\painel-aluno\paginas\parcelas.php"
"2026-03-05 16:25:08","sistema\painel-aluno\paginas\parcelas_cartao.php"
"2026-03-05 16:25:19","sistema\painel-aluno\paginas\cursos.php"
"2026-03-05 16:25:29","sistema\painel-aluno\paginas\boletos\atualizar_vencimento.php"
"2026-03-05 16:25:42","sistema\painel-admin\paginas\boletos\atualizar_vencimento.php"
"2026-03-05 16:26:34","efi\credit_card.php"
"2026-03-05 17:10:41","sistema\painel-aluno\paginas\cursos\set_payment_method.php"
"2026-03-05 17:10:50","efi\card_payment.php"
"2026-03-05 17:11:01","efi\index.php"
"2026-03-05 17:11:09","sistema\painel-admin\paginas\matriculas\aprovar.php"
"2026-03-05 17:11:18","sistema\painel-admin\paginas\alunos\liberar-menor.php"
"2026-03-05 17:11:26","sistema\painel-admin\paginas\alunos\listar.php"
"2026-03-05 17:17:05","sistema\painel-admin\paginas\alunos\inserir.php"
"2026-03-05 19:35:49","ajax\cursos\autenticar-curso.php"
